プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,負傷兵シモン,村人,ネタじゃないシモンに・・・なるんだ・・・
プロローグ,負傷兵シモン,村人,さて。今日中に人が集まるかは謎だが一応アンケートだ。■１.参加コアタイム　■２.仮・本希望時間■３.投票ＣＯについて□４.自己紹介などエトセトラ
プロローグ,負傷兵シモン,村人,■1.夜中心の不定期。休日は昼間もかなり来れるな。■2.仮23:45/本24:30頃か？■3.自殺票を使用ってことか？あまり好きじゃないな・・・。□4.至ってふつうのシモンだ。
プロローグ,負傷兵シモン,村人,まー人が集まるまでゆっくりさせてもらうぜ。
プロローグ,負傷兵シモン,村人,おぅわ、誰も来てないとか。ま、しゃーないわな。明日に期待しつつ今日は寝る。朝には誰か来てるといいな。
プロローグ,パン屋オットー,人狼,一日に一人人が増える村はここですか？
プロローグ,負傷兵シモン,村人,>>7.よぉ、オットーちょま、そのペース、半端ねぇｗｗｗｗ
プロローグ,旅人ニコラス,村人,えーっと、初めまして。死に場所を求めて旅してるニコラスです。この村に来れば、吊ってもらえるって聞いてやってきました。「消え行く村」って名前もとっても素敵ですね。
プロローグ,旅人ニコラス,村人,はやく死にたいなあ。
プロローグ,旅人ニコラス,村人,それではお墓作って来ますね。あれ？シモンさんも自殺未遂の後ですか？その傷…。シモンさんのお墓も用意してた方が良さそうですね。その傷じゃ、先は長くないでしょう…。
プロローグ,旅人ニコラス,村人,■1.えーっと、各種ワクチンは接種してるんで、病死はしない体質です。内容はともかく、必ず毎日お話するのでご安心を。■2.仮？本？なんのことでしょう？何か決めるなら、夜寝る前に早めにお願いしますね。夜更かしは死後の世界に影響するらしいので。■3.投票？選挙でもするんですか？投票はきちんと正しくしないと、村によっては捕まっちゃうんですよ。この村ではどうなんでしょうね？私？もちろん不正はしません。
プロローグ,旅人ニコラス,村人,□4.死にたがりのニコラスです。吊って下さい。と、アンケートにだけ答えておきますね。では。
プロローグ,木こりトーマス,狩人,おらトーマス。…おしゃべりは苦手なんだな。
プロローグ,木こりトーマス,狩人,■１.日が出ている間は木を切るので忙しいんだな。■２.会議でもするだか？毎朝５時から木を切ってるんだな。夜は早めに寝たいんだな。■３.難しいことはわからないんだな。ややこしいことは好きじゃないんだな。みんなにまかせるだよ。
プロローグ,木こりトーマス,狩人,□４.人狼なんている訳ないんだな。いたらオラが斧でぶった斬ってやるんだな。シモン殿とニコラス殿、死にたいのであればオラが首をスパーンと斬ってあげてもいいんだな。
プロローグ,旅人ニコラス,村人,>>16　トーマス＞ぜひ、お願いします。できれば、８メートルほど飛ばして下さい。
プロローグ,旅人ニコラス,村人,>>16トーマスの言葉に気付きました。人狼出るんですか？でも、ゲルトさんは「いるわけない」っておっしゃってますね。
プロローグ,旅人ニコラス,村人,\‘«`÷æ«æ“‘≠–ºπ…≥≤¬π–πøˆºˆ∆˚…¬≤≤≤¬˚¬…πøˆ¨∆µ˜˙¨•¶§∞¢£™™™™¡œ∑´®´å®ß†∂†ƒ¥¥¨©Ω≈ˆç√∫˜µ≤˚∆¬……æπø
プロローグ,旅人ニコラス,村人,すみません。ちょっと母国語で喋っちゃいました。いえ、たいしたことは喋ってません。
プロローグ,木こりトーマス,狩人,>>18　ニコラス殿…誰が人狼がいるなんて噂を流したんだかな？でも人狼なんている訳ないんだな。だって今までに、誰も人狼に食われたりしてないんだな。ゲルト殿の言う通り、みんな大げさだと思うんだな…ニコラス殿もそう思うだな？
プロローグ,木こりトーマス,狩人,>>20 ニコラス殿ニコラス殿の母国語は、とてもゆにーくなんだな。オラのあたまでは、りかいできそうにないんだな。
プロローグ,旅人ニコラス,村人,>>21　＞トーマスさん　人狼、どうなんでしょうね。私は旅の途中で人のいない腐臭漂う村々も見てきましたので、人外の存在は割と信じちゃうんですよ。それに、人狼いれば、頭からぱっくり食べてもらえるかもしれないんですよね？ちょっと楽しみでもあります。それより、人来ないですねぇ。宿の入り口に張り紙はって置きましょう。
プロローグ,旅人ニコラス,村人,『宿屋へようこそ！　宿屋の扉を開けたらまず一発ギャグを！！』　
プロローグ,旅人ニコラス,村人,［ニコラスは入り口の見える椅子に座り、ニヤニヤしながら扉が開くのを待っている］
プロローグ,木こりトーマス,狩人,>>24　ニコラス殿ニコラス殿に、見本を見せてもらいたいんだな。
プロローグ,旅人ニコラス,村人,どきっ！ずたたた…［ニコラスは逃げ出した］
プロローグ,青年ヨアヒム,狂人,[...はドアノブに手を掛けたところで張り紙に気付き、内容を確認すると来た道を引き返していった]
プロローグ,木こりトーマス,狩人,　
プロローグ,ならず者ディーター,村人,ふ。
プロローグ,ならず者ディーター,村人,狼。
プロローグ,ならず者ディーター,村人,ふふ。
プロローグ,少年ペーター,人狼,■１.参加コアタイムは24:00前後かな■２.仮・本希望時間は特に無いね大体は合わせられると思う■３.反対はしないよ
プロローグ,旅人ニコラス,村人,むにゃむにゃ。私、眠くなってきました。人数増え始めましたが、先に失礼しますね。皆さんゆっくりしていって下さい…ってよそ者の私が言うのも変ですが…。つ旦旦旦旦旦旦旦旦旦旦
プロローグ,行商人アルビン,占い師,おはようございません。
プロローグ,行商人アルビン,占い師,■１.夜が多いと思います。■２.皆様で決めていただければ。■３.どちらでも。□４.行商人です。
プロローグ,青年ヨアヒム,狂人,ごめん遅くなった！雑貨屋さんに行ったら話し込んじゃってさ・・・お詫びにお土産あるから許してｗっ[ポテトチップス][キャラメル]
プロローグ,青年ヨアヒム,狂人,それとー、これはー、お店のおばあちゃんから！「よう噛んで食べんしゃい」って渡されたんだ。遠慮しないで食べてね。っ[ようかん（つぶあん）（こしあん）（抹茶）（さつまいも）（ゆず）（栗かのこ）]
プロローグ,青年ヨアヒム,狂人,それで・・・一発ギャグ、だったよね？？[...の手には『Pocky 』と書かれた箱が握られている]
プロローグ,青年ヨアヒム,狂人,[...は箱の中から一本だけ取り出すと両端をつかんで深呼吸した]・・・いきます。
プロローグ,青年ヨアヒム,狂人,　　　　　　　　　　　　　　　　　　　ぽきっ！
プロローグ,青年ヨアヒム,狂人,・・・つまらなかったらごめん。僕にはこれが限界。
プロローグ,青年ヨアヒム,狂人,。o（だ、誰からも反応が無いよう！！！）・・・あ、お茶が入ってる。ようかんと一緒にいただきますね。
プロローグ,青年ヨアヒム,狂人,ずずず・・・ふぅところでもうこの流れは女の子来なくていいよね？この村はこのまま消え行けばいいよね？
プロローグ,行商人アルビン,占い師,寝てました。
プロローグ,行商人アルビン,占い師,さんかっしゃぼっしゅーちゅー。
プロローグ,木こりトーマス,狩人,…子供がいない…
プロローグ,木こりトーマス,狩人,…子供いた
プロローグ,木こりトーマス,狩人,ヨアヒム殿、楽しませていただいたんだな。
プロローグ,行商人アルビン,占い師,ヨアヒムもいなくなっちゃいましたね。
プロローグ,農夫ヤコブ,村人,みんな、おそよう。宿屋の扉がかなり重く感じたんだ。一発ギャグか…[世界に一つだけの花]花屋の店先に並んでる時点で、勝ち組だよね？ね？
プロローグ,青年ヨアヒム,狂人,あ、居るよ居るよｗお茶のおかわりもらいに行ってたんだ
プロローグ,青年ヨアヒム,狂人,ヤコブの・・・なんか、僕、泣けてきたんだけど・・・
プロローグ,行商人アルビン,占い師,花にとっての勝ち組負け組ってなんなんでしょうね。そもそも。
プロローグ,農夫ヤコブ,村人,ニコラス、お茶頂きます。ごくごく（熱っ　　農夫として、やっぱり植物関連の話題で攻めてみたんだ。とりあえず議題に答えてみるね■１．２２時前後かな■２．仮２３：３０　本２４：００希望かな。ずれ込む事が多いから早めに決定したほうがいいと思うんだ。■３．投票はG国で変更になったシステムだよね？揉め事の原因になるから変更になったと思うんだ。それを考えると投票COは無いほうがいいんじゃないかな。
プロローグ,行商人アルビン,占い師,投票COはもう機能しませんしね、そもそも。
プロローグ,農夫ヤコブ,村人,ヨアヒム、泣かないでｗほら、ヨアヒムに似合う花だよ[...はヨアヒムに紅花をそっと差し出した]　花言葉：情熱そうさ僕らも、世界に一つだけの花なんだから！きっとどこかの花屋にならんでるはずさっ！□４．花屋の勉強をはじめてみたんだ。野菜より儲かるらしいよ！
